freq_MHz,Re_S11,Im_S11,Mag_S11,S11_dB
9.800000000000001137e+02,-9.126960936436498972e-01,-1.612151755873788561e-01,9.268249522925284811e-01,-6.600456500564161333e-01
9.849999999999998863e+02,-9.269884890712831726e-01,-1.357617132813470906e-01,9.368772073563040870e-01,-5.663465314904243542e-01
9.900000000000001137e+02,-9.381426087444811879e-01,-1.130331035690848029e-01,9.449275299430958119e-01,-4.920299579140142709e-01
9.949999999999998863e+02,-9.469378639930596808e-01,-9.268106221342729822e-02,9.514626096472459382e-01,-4.321654768705904814e-01
9.999999999999998863e+02,-9.539364726609917966e-01,-7.438875331610199371e-02,9.568325247883345819e-01,-3.832814100894406106e-01
1.005000000000000114e+03,-9.595494188737193619e-01,-5.787848442259048432e-02,9.612934027756295796e-01,-3.428807636195473352e-01
1.009999999999999773e+03,-9.640811055539881824e-01,-4.291134764858835215e-02,9.650356272403719515e-01,-3.091330610353570374e-01
1.015000000000000000e+03,-9.677598587470316316e-01,-2.928363656865394862e-02,9.682028070465193981e-01,-2.806732514393186495e-01
1.020000000000000000e+03,-9.707590019399540138e-01,-1.682228514261456184e-02,9.709047477095140710e-01,-2.564675042765162116e-01
1.025000000000000000e+03,-9.732115932486042897e-01,-5.380329343329359401e-03,9.732264655142344179e-01,-2.357217911558222301e-01
1.030000000000000000e+03,-9.752208591296945839e-01,5.167204183995167087e-03,9.752345482399291665e-01,-2.178184397501552461e-01
1.035000000000000000e+03,-9.768676718276337878e-01,1.492685803752414470e-02,9.769817088117945802e-01,-2.022713425429974454e-01
1.039999999999999773e+03,-9.782159717907348284e-01,2.398975396198319010e-02,9.785100897597571734e-01,-1.886938364119991329e-01
1.045000000000000000e+03,-9.793167445615266198e-01,3.243410536851926151e-02,9.798536918181421917e-01,-1.767753347142879683e-01
1.050000000000000000e+03,-9.802109690614820847e-01,4.032730099773743082e-02,9.810401801527864896e-01,-1.662640998773830536e-01
1.055000000000000000e+03,-9.809318257359344040e-01,4.772762815773137768e-02,9.820922427303843127e-01,-1.569543862690142011e-01
1.060000000000000000e+03,-9.815063664026264512e-01,5.468569730214970642e-02,9.830286225631017505e-01,-1.486767351122856851e-01
1.065000000000000000e+03,-9.819567885925339912e-01,6.124562102072952929e-02,9.838649098108830371e-01,-1.412905710336397891e-01
1.070000000000000000e+03,-9.823014164631209688e-01,6.744599182373904600e-02,9.846141551889967536e-01,-1.346784987021547586e-01
1.075000000000000000e+03,-9.825554620049908872e-01,7.332069527479316562e-02,9.852873490872701145e-01,-1.287418687535453188e-01
1.080000000000000000e+03,-9.827316202979053950e-01,7.889958832103455277e-02,9.858937988295571886e-01,-1.233973008995935816e-01
1.085000000000000000e+03,-9.828405383779831306e-01,8.420906708238301563e-02,9.864414279915504347e-01,-1.185739356610589074e-01
1.090000000000000000e+03,-9.828911870880153723e-01,8.927254379455561162e-02,9.869370155844995329e-01,-1.142112456328386177e-01
1.095000000000000000e+03,-9.828911579006384125e-01,9.411084887538233301e-02,9.873863884798608215e-01,-1.102572800010546972e-01
1.100000000000000000e+03,-9.828469013087888229e-01,9.874257109265932586e-02,9.877945772063525531e-01,-1.066672471464690242e-01
1.105000000000000000e+03,-9.827639194014802237e-01,1.031843463918240555e-01,9.881659428545729318e-01,-1.034023630143811323e-01
1.110000000000000000e+03,-9.826469222886805577e-01,1.074511039946489527e-01,9.885042810393313006e-01,-1.004289098542834602e-01
1.115000000000000000e+03,-9.824999558274662981e-01,1.115562768166339369e-01,9.888129075301166360e-01,-9.771746257044808259e-02
1.120000000000000000e+03,-9.823265064339674613e-01,1.155119819816021742e-01,9.890947291458395130e-01,-9.524224944829298711e-02
1.125000000000000000e+03,-9.821295874988836827e-01,1.193291761925899253e-01,9.893523027372653766e-01,-9.298062124658601491e-02
1.130000000000000000e+03,-9.819118109564620722e-01,1.230177898865427166e-01,9.895878844874609337e-01,-9.091260816987287163e-02
1.135000000000000000e+03,-9.816754468118680244e-01,1.265868434305591761e-01,9.898034713027600295e-01,-8.902054848492310657e-02
1.140000000000000000e+03,-9.814224728553805344e-01,1.300445480631789996e-01,9.900008357100141820e-01,-8.728877584507360732e-02
1.145000000000000000e+03,-9.811546163430929779e-01,1.333983938388716428e-01,9.901815553978737805e-01,-8.570335495093674150e-02
1.150000000000000000e+03,-9.808733890724209425e-01,1.366552264650420789e-01,9.903470383207235717e-01,-8.425185719143821195e-02
1.155000000000000000e+03,-9.805801170041719139e-01,1.398213146144900720e-01,9.904985441102068799e-01,-8.292316950248559970e-02
1.160000000000000000e+03,-9.802759653641097692e-01,1.429024090513565659e-01,9.906372024021803391e-01,-8.170733093557186466e-02
1.165000000000000000e+03,-9.799619599831862482e-01,1.459037946959851895e-01,9.907640285763186228e-01,-8.059539243864907720e-02
1.170000000000000000e+03,-9.796390054965945504e-01,1.488303365851736670e-01,9.908799373175405378e-01,-7.957929615413350533e-02
1.175000000000000000e+03,-9.793079009101834931e-01,1.516865205402103678e-01,9.909857543369156030e-01,-7.865177118928393107e-02
1.180000000000000000e+03,-9.789693529535121730e-01,1.544764892332959327e-01,9.910822265322201119e-01,-7.780624333624723554e-02
1.185000000000000000e+03,-9.786239875654045850e-01,1.572040742453891249e-01,9.911700308210306121e-01,-7.703675664753092955e-02
1.190000000000000000e+03,-9.782723597994096298e-01,1.598728246210352200e-01,9.912497818409918837e-01,-7.633790511885271690e-02
1.195000000000000000e+03,-9.779149623881455700e-01,1.624860323566681974e-01,9.913220386804787454e-01,-7.570477301522877955e-02
1.200000000000000000e+03,-9.775522331661425923e-01,1.650467551963282764e-01,9.913873107766454362e-01,-7.513288261272567381e-02
1.205000000000000000e+03,-9.771845615183618605e-01,1.675578370598397870e-01,9.914460630967300014e-01,-7.461814831875192289e-02
1.210000000000000000e+03,-9.768122939949406280e-01,1.700219263835699712e-01,9.914987207005556691e-01,-7.415683629505920305e-02
1.215000000000000000e+03,-9.764357392105118549e-01,1.724414926168354456e-01,9.915456727672713466e-01,-7.374552884153873222e-02
1.220000000000000000e+03,-9.760551721282340054e-01,1.748188410863701636e-01,9.915872761573023553e-01,-7.338109290734916301e-02
1.225000000000000000e+03,-9.756708378133300830e-01,1.771561264122480661e-01,9.916238585697491059e-01,-7.306065219210840234e-02
1.230000000000000000e+03,-9.752829547280971179e-01,1.794553646382444079e-01,9.916557213471886012e-01,-7.278156237418460794e-02
1.235000000000000000e+03,-9.748917176298681486e-01,1.817184442159675006e-01,9.916831419720648633e-01,-7.254138907258493585e-02
1.240000000000000000e+03,-9.744973001242924759e-01,1.839471359678183093e-01,9.917063762930531379e-01,-7.233788820090009120e-02
1.245000000000000000e+03,-9.740998569187873102e-01,1.861431021371182104e-01,9.917256605142530379e-01,-7.216898842112919044e-02
1.250000000000000000e+03,-9.736995258145690890e-01,1.883079046214831687e-01,9.917412129756685291e-01,-7.203277544448360992e-02
1.255000000000000000e+03,-9.732964294704127273e-01,1.904430124741736674e-01,9.917532357497464979e-01,-7.192747795917629750e-02
1.260000000000000000e+03,-9.728906769666171295e-01,1.925498087474304398e-01,9.917619160752415564e-01,-7.185145499640369082e-02
1.265000000000000000e+03,-9.724823651935721180e-01,1.946295967456846410e-01,9.917674276471636352e-01,-7.180318456813997163e-02
1.270000000000000000e+03,-9.720715800865482592e-01,1.966836057448270170e-01,9.917699317789108182e-01,-7.178125343395502789e-02
1.275000000000000000e+03,-9.716583977245742965e-01,1.987129962329479971e-01,9.917695784508429035e-01,-7.178434787052975774e-02
1.280000000000000000e+03,-9.712428853099223103e-01,2.007188647158259787e-01,9.917665072576070662e-01,-7.181124533480669203e-02
1.285000000000000000e+03,-9.708251020416197585e-01,2.027022481309839197e-01,9.917608482650825952e-01,-7.186080692456088548e-02
1.290000000000000000e+03,-9.704050998953580587e-01,2.046641279056666818e-01,9.917527227864347816e-01,-7.193197055239969329e-02
1.295000000000000000e+03,-9.699829243201835149e-01,2.066054336926204105e-01,9.917422440856548116e-01,-7.202374475908648876e-02
1.300000000000000000e+03,-9.695586148611732291e-01,2.085270468129941934e-01,9.917295180159082513e-01,-7.213520310143198278e-02
